timestamp,heap_used_mb,heap_committed_mb,ygc_count,ygct_s,fgc_count,fgct_s,gct_s
2026-05-12T04:39:44Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:39:45Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:39:46Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:39:47Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:39:48Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:39:49Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:39:50Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:39:51Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:39:52Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:39:53Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:39:54Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:39:55Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:39:56Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:39:57Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:39:58Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:39:59Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:40:00Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:40:01Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:40:02Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:40:03Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:40:04Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:40:05Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:40:06Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:40:07Z,16.72,37.00,2,0.013,0,0.000,0.017
2026-05-12T04:40:08Z,17.71,44.00,5,0.046,0,0.000,0.056
2026-05-12T04:40:09Z,24.79,44.00,6,0.052,0,0.000,0.062
2026-05-12T04:40:10Z,20.19,44.00,7,0.055,0,0.000,0.065
2026-05-12T04:40:11Z,31.19,44.00,7,0.055,0,0.000,0.065
2026-05-12T04:40:12Z,27.66,44.00,8,0.059,0,0.000,0.068
2026-05-12T04:40:13Z,21.03,44.00,9,0.062,0,0.000,0.072
2026-05-12T04:40:14Z,27.03,44.00,9,0.062,0,0.000,0.072
2026-05-12T04:40:15Z,33.03,44.00,9,0.062,0,0.000,0.072
2026-05-12T04:40:16Z,19.93,44.00,10,0.065,0,0.000,0.075
2026-05-12T04:40:17Z,27.92,44.00,10,0.065,0,0.000,0.075
2026-05-12T04:40:18Z,33.92,44.00,10,0.065,0,0.000,0.075
2026-05-12T04:40:19Z,19.98,44.00,11,0.068,0,0.000,0.077
